S/Y Clear Beacon 170',Capt. Jesse Ashford,kendall.norwood@example.com,,drew.oakes@example.com,,No overnight crew,
,,Cell: 555-0157,,Cell: 555-0197,,,
S/V Golden Star 40',Capt. Parker Danforth,Noel Fairweather,Cell: 555-0106,finley.fairweather@example.com,,,
,,,,,,,
S/V Western Cove 24',Capt. Riley Lowell,Cell: 555-0148,harper.jarvis@example.com,,,,
,,,,,,,
S/V Amber Tide 46',Capt. Jordan Fenwick,Cell: 555-0177,sage.garland@example.com,,,,
,,,,,,,
S/V Northern Harbor 52',Capt. Dana Norwood,Cell: 555-0157,skyler.hollis@example.com,,,,
,,,,,,,
M/Y Swift Anchor 100',Capt. Dana Jarvis,Capt. Finley Dunmore,Cell: 555-0147,jamie.quill@example.com,,,
,,,,,,,
S/Y Clear Sextant 145',Capt. Taylor Thorne,alex.abbott@example.com,,,,,
R/V Amber Ledge 72',elliot.whitlock@example.com,,,https://www.example.org/vessel,,,
,,,,,,,
M/V Golden Skua 52',Tidewater Marine Services,riley.garland@example.com,Cell: 555-0126,Contact captain on arrival,,,
,,,,,,,
S/Y Long Gannet 24',Bayline Charters,Cell: 555-0166,blake.whitlock@example.com,,,,
,,,,,,,
M/V Wild Star 24',Capt. Sage Abbott,Cell: 555-0163,kendall.oakes@example.com,,,,
,,,,,,,
"LOA: 145', Draft: 12'",Northwind Offshore,Cell: 555-0140,sage.ashford@example.com,,Approved by operations,,
,Capt. Parker Quill,Cell: 555-0126,blake.whitlock@example.com,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
finley.thorne@example.com,,,,,,,
,,,,,,,
M/V Deep Reef 24',Capt. Dana Danforth,elliot.everly@example.com,dana.oakes@example.com,,Cell: 555-0174,,
,,Finley Kendrick,Cell: 555-0188,,,,
R/V Grey Reef 170',,logan.ellery@example.com,,,,,
Barge Western Tern 100',,rowan.oakes@example.com,,,,,
,,,,,,,
M/V Iron Harbor 100',Capt. Drew Ransom,Cell: 555-0116,,,,,
,,,,,,,
M/V Blue Tern 52',Lakeshore Research Group,,,,,,
,,,,,,,
S/V Bright Drift 32',Capt. Sage Garland,kai.vance@example.com,,,,,
,,,,,,,
M/V Wild Dory 52',Capt. Reese Ashford,morgan.calloway@example.com,,,,,
,,,,,,,
,,,,,,,
M/Y Blue Fathom 46',Capt. Finley Ashford,Jamie Kendrick,Capt. Avery Ellery,,,,
R/V Long Heron 85',Cell: 555-0187,https://www.example.org/vessel,,,,,
dana.sterling@example.com,hayden.sterling@example.com,,,,,,
,,,,,,,
M/V Deep Reef 100',Capt. Finley Dunmore,Cell: 555-0112,hayden.ashford@example.com,,,,
,lee.calloway@example.com,,,,,,
,Cell: 555-0197,,,,,,
,,,,,,,
M/V Blue Osprey 100',Cell: 555-0132,rowan.norwood@example.com,No overnight crew,,,,
,,,,,,,
M/V Quiet Drift 46',,,,,,,
,Capt. Riley Quill,sage.quill@example.com,,,,,
,Cell: 555-0195,,,,,,
S/V Wild Reef 100',Cell: 555-0124,,,,,,
,,,,,,,
OSV Clear Reef 46',Coastal Survey Partners,,No overnight crew,,,,
,Cell: 555-0148,,,,,,
,blake.danforth@example.com,,,,,,
OSV Long Reef 120',Capt. Logan Abbott,Contact captain on arrival,,,,,
,Cell: 555-0117,,,,,,
,,,,,,,
F/V Iron Ketch 65',Bayline Charters,Taylor Abbott,,,,,
,dana.ellery@example.com,Logan Hollis,,,,,
,Cell: 555-0121,,,,,,
,,,,,,,
R/V Blue Drift 120',Capt. Skyler Everly,Cell: 555-0149,,,,,
,State Marine Academy,,,,,,
,,,,,,,
S/V Quiet Fathom 40',Capt. Elliot Fairweather,harper.vance@example.com,,,,,
,,,,,,,
Tug Deep Wind 120',Harbor Institute,Cell: 555-0131,No overnight crew,,,,
,rowan.underhill@example.com,Cell: 555-0130,,,,,
,,,,,,,
Tug Long Anchor 170',Capt. Lee Fairweather,jamie.quill@example.com,Short visit only,,,,
,Cell: 555-0153,,,,,,
,,,,,,,
M/Y CORAL WIND 40',Capt. Kai Calloway,blake.underhill@example.com,Pending insurance paperwork,Capt. Jordan Whitlock,,,
,Capt. Hayden Yardley,Cell: 555-0130,,,,,
,,,,,,,
M/Y Green Beacon 145',Capt. Sage Vance,Cell: 555-0166,,,,,
M/V Long Wind 40',,alex.oakes@example.com,,,,,
R/V Swift Reef 170',Capt. Marley Whitlock,,,,,,
Barge Wild Horizon 52',casey.whitlock@example.com,,,,,,
,Cell: 555-0188,,,,,,
R/V Salt Drift 85',Cell: 555-0102,,,,,,
,marley.vance@example.com,,,,,,
,,,,,,,
OSV Silver Harbor 46',Capt. Skyler Norwood,,,,,,
,elliot.garland@example.com,,,,,,
,Cell: 555-0161,,,,,,
,,,,,,,
R/V Long Voyager 100',,,,,,,
R/V Iron Wind 46',,,,,,,
Cell: 555-0115,,,,,,,
hayden.everly@example.com,,,,,,,
,,,,,,,
M/V Wild Sextant 100',,,,,,,
Barge Salt Ledge 52',,,,,,,
dana.jarvis@example.com,,,,,,,
Cell: 555-0166,,,,,,,
,,,,,,,
S/V Wild Harbor 65',,,,,,,
M/Y Wild Skua 40',,,,,,,
marley.vance@example.com,,,,,,,
Cell: 555-0192,,,,,,,
,,,,,,,
M/V Swift Sextant 72',Lakeshore Research Group,,,,Will raft alongside if needed,,
,Capt. Jamie Garland,,No overnight crew,Will raft alongside if needed,Will raft alongside if needed,,
,noel.quill@example.com,,Pending insurance paperwork,Short visit only,Short visit only,,
,Cell: 555-0160,,,,,,
