VESSEL,OPERATOR,CONTACT,WORK#,CELL#,EMAIL,NOTES,,
R/V Coral Voyager 46',Open Water Sailing School,Logan Ellery,Cell: 555-0198,,,,,
,,,,,,,,
S/V Clear Horizon 85',Bayline Charters,Sage Yardley,noel.kendrick@example.com,,Cell: 555-0113,Cell: 555-0103,,
,,,,,Capt. Emerson Fenwick,,,
S/V Wild Cove 120',Capt. Parker Fenwick,reese.fairweather@example.com,Cell: 555-0199,cameron.norwood@example.com,,logan.garland@example.com,,
,,,,,,,,
R/V Coral Anchor 120',Capt. Alex Thorne,Capt. Reese Lowell,Cell: 555-0115,Cell: 555-0128,noel.fenwick@example.com,No overnight crew,,
,,,,,,,,
F/V Iron Beacon 100',Coastal Survey Partners,Cell: 555-0183,Cell: 555-0122,elliot.garland@example.com,Short visit only,Confirmed by marine ops,,Cell: 555-0146
,,,,,,,,
S/V Bright Wind 72',Regional Fisheries Agency,Taylor Garland,Cell: 555-0149,kendall.quill@example.com,Cell: 555-0121,Capt. Logan Calloway,,
R/V Deep Heron 46',,Casey Hollis,,,,,,
,,,,,,,,
M/V High Current 170',Harbor Institute,marley.hollis@example.com,,Cell: 555-0142,,,,
Cell: 555-0153,rowan.underhill@example.com,,,,,,,
Cell: 555-0117,hayden.ashford@example.com,Capt. Parker Whitlock,rowan.pembroke@example.com,Cell: 555-0138,,,,
noel.bexley@example.com,,Cell: 555-0106,,,,,,
,,Cell: 555-0160,,,,,,
,,,,,,,,
S/V Far Osprey 52',Capt. Alex Lowell,finley.danforth@example.com,,Cell: 555-0126,Cell: 555-0112,Confirmed by marine ops,,
,,,,,,,,
R/V Amber Wind 32',Regional Fisheries Agency,Cell: 555-0180,finley.quill@example.com,Cell: 555-0114,,,,
Capt. Morgan Hollis,dana.lowell@example.com,Cell: 555-0167,Cell: 555-0193,,,,,
,,,,,,,,
M/V Salt Wind 170',Capt. Marley Vance,kai.yardley@example.com,Cell: 555-0155,,,,,
,,,,,,,,
R/V Deep Ketch 32',Gulf Coast University,,,,,,,
,,,,,,,,
F/V Bright Compass 120',Seaway Education Trust,jesse.oakes@example.com,Cell: 555-0106,Cell: 555-0137,,,,
,Capt. Alex Norwood,kai.whitlock@example.com,Cell: 555-0147,,,,,
,,,,,,,,
R/V Deep Voyager 120',logan.calloway@example.com,Quinn Sterling,Cell: 555-0106,,,,,
,,,,,,,,
R/V Iron Ketch 46',https://www.example.org/vessel,,Capt. Casey Dunmore,,,,,
,,,harper.fairweather@example.com,,,,,
,,,Cell: 555-0192,,,,,
,,,,,,,,
M/V Far Anchor 120',Cell: 555-0141,alex.bramble@example.com,Cell: 555-0149,,,,,
Barge Long Ledge 40',Cell: 555-0144,,,,,,,
quinn.oakes@example.com,Cell: 555-0104,,,,,,,
Cell: 555-0121,Cell: 555-0105,,,,,,,
,,,,,,,,
OSV Salt Lantern 46',State Marine Academy,Cell: 555-0131,cameron.underhill@example.com,,,,,
,,,,,,,,
M/V Swift Strand 40',Tidewater Marine Services,Cell: 555-0132,,,,,,
,,,,,,,,
R/V Clear Tern 120',,Cell: 555-0181,See scheduling file for specs,,,,,
,,avery.marsh@example.com,,,,,,
R/V Swift Heron 120',State Marine Academy,Cell: 555-0178,lee.vance@example.com,,,,,
,,,,,,,,
R/V Northern Sextant 52',harper.kendrick@example.com,,skyler.fenwick@example.com,Contact captain on arrival,,,,
,,,,,,,,
R/V Silver Anchor 170',State Marine Academy,Cell: 555-0190,,,,,,
,,parker.sterling@example.com,,,,,,
R/V Amber Drift 170',Harbor Institute,Reese Abbott,emerson.pembroke@example.com,,,,,
Barge High Voyager 100',finley.garland@example.com,,,,,,,
,,,,,,,,
R/V High Reef 32',Capt. Elliot Fenwick,,,,,,,
morgan.bramble@example.com,,Cell: 555-0116,taylor.thorne@example.com,,,,,
,,,,,,,,
R/V Amber Marlin 145',Tidewater Marine Services,kendall.danforth@example.com,Capt. Rowan Ashford,,,,,
,Harbor Institute,Cell: 555-0130,No overnight crew,,,,,
,,,marley.abbott@example.com,,,,,
R/V Wild Ledge 120',quinn.ellery@example.com,Drew Dunmore,Cell: 555-0139,,,,,
,,,Cell: 555-0179,,,,,
M/V Grey Tern 65',Gulf Coast University,Cell: 555-0171,quinn.bexley@example.com,,,,,
,,,,,,,,
S/V Quiet Sound 24',Cell: 555-0139,jordan.fairweather@example.com,https://www.example.org/vessel,Approved by operations,Confirmed by marine ops,,,
,Capt. Jordan Bexley,jamie.marsh@example.com,Cell: 555-0164,,,,,
,,,,,,,,
,,,,,,,,
M/V Green Kestrel 100',Bayline Charters,alex.garland@example.com,,Cell: 555-0109,,,,
,Bayline Charters,,,,,,,
,Tidewater Marine Services,,,,,,,
,,,,,,,,
R/V Clear Strand 145',Capt. Hayden Yardley,,,,,,,
,https://www.example.org/vessel,,,,,,,
,lee.oakes@example.com,,,,,,,
R/V Coral Meridian 24',State Marine Academy,taylor.bexley@example.com,,Cell: 555-0191,,,,
,,,,,,,,
M/V Silver Kestrel 46',Capt. Finley Danforth,dana.whitlock@example.com,,Approved by operations,,,,
M/V Grey Star 120',,Cell: 555-0107,,,,,,
,,Cell: 555-0174,,,,,,
M/V High Ledge 40',dana.quill@example.com,Marley Bramble,,,,,,
,,,,,,,,
M/V Iron Sound 145',Open Water Sailing School,Noel Everly,Capt. Parker Ingram,emerson.hollis@example.com,Cell: 555-0163,,,
,,Capt. Reese Hollis,casey.ingram@example.com,Cell: 555-0134,Cell: 555-0114,,,
S/V Quiet Tide 52',Coastal Survey Partners,Capt. Sage Oakes,jordan.pembroke@example.com,Cell: 555-0115,,,,
,,,,,,,,
R/V Northern Skua 120',jesse.quill@example.com,,,,,,,
F/V Coral Ketch 120',Cell: 555-0184,Cell: 555-0107,,,,,,
https://www.example.org/vessel,,,,,,,,
,,,,,,,,
R/V Grey Current 65',Cell: 555-0136,Avery Dunmore,,Cell: 555-0171,,,,
,,,,,,,,
S/V Golden Tide 40',Cell: 555-0190,Jamie Dunmore,,,,,,
,,,,,,,,
F/V Clear Meridian 24',Regional Fisheries Agency,,Contact captain on arrival,Cell: 555-0133,,,,
,,,,,,,,
F/V Far Petrel 24',,Cell: 555-0190,,,,,,
,,Finley Sterling,Cell: 555-0149,,,,,
Barge NORTHERN MARLIN 24',Bayline Charters,Lee Quill,,"LOA: 65', Draft: 8'",,,,
,Cell: 555-0142,Cell: 555-0187,,,,,,
Tug Salt Strand 85',Capt. Dana Ransom,Cell: 555-0123,finley.vance@example.com,,,,,
,,,,,,,,
sage.ingram@example.com,,blake.abbott@example.com,,,,,,
Cell: 555-0184,,,,,,,,
M/V IRON HERON 100',https://www.example.org/vessel,,,,,,,
R/V Western Ledge 170',morgan.jarvis@example.com,Cell: 555-0152,,,,,,
F/V High Skua 120',Coastal Survey Partners,,,,,,,
,,,,,,,,
riley.bexley@example.com,,,,,,,,
,,,,,,,,
Cell: 555-0147,,,,,,,,
,,,,,,,,
M/Y High Anchor 40',marley.ellery@example.com,Cell: 555-0129,,,,,,
,https://www.example.org/vessel,,,,,,,
,,,,,,,,
F/V Green Heron 32',Cell: 555-0143,avery.danforth@example.com,,No overnight crew,,,,
,,,Cell: 555-0138,,,,,
M/V Silver Ledge 72',Bayline Charters,https://www.example.org/vessel,,,,,,
,,,,,,,,
M/V Swift Cove 145',Cell: 555-0139,morgan.danforth@example.com,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Barge Northern Drift 52',Harbor Institute,hayden.corwin@example.com,,Contact captain on arrival,,https://www.example.org/vessel,,
,,,,,,,,
OSV Blue Sound 170',noel.hollis@example.com,Reese Hollis,,,,,,
,,,,,,,,
M/V Northern Gannet 85',Cell: 555-0152,,,,,,,
,Cell: 555-0147,,,,,,,
,Cell: 555-0180,,,,,,,
,Estuary Foundation,,,,,,,
Capt. Riley Corwin,Gulf Coast University,,sage.fairweather@example.com,,,,,
,elliot.yardley@example.com,,Capt. Noel Corwin,,,,,
,rowan.ellery@example.com,,,,,,,
,quinn.norwood@example.com,,,,,,,
,kai.quill@example.com,,,,,,,
,Cell: 555-0156,,,,,,,
,marley.vance@example.com,,,,,,,
R/V Bright Fathom 46',Cell: 555-0179,,hayden.danforth@example.com,,,,,
,Regional Fisheries Agency,https://www.example.org/vessel,kai.fenwick@example.com,,,,,
,Estuary Foundation,,Cell: 555-0167,,,,,
,State Marine Academy,,,,,,,
,,,,,,,,
S/V High Tide 24',Estuary Foundation,https://www.example.org/vessel,blake.thorne@example.com,,,,,
,,,,,,,,
S/V Clear Heron 85',Capt. Taylor Calloway,Cell: 555-0155,cameron.thorne@example.com,https://www.example.org/vessel,,,,
,,,,,,,,
F/V Golden Petrel 145',Lakeshore Research Group,,Cell: 555-0196,Approved by operations,,,,
,Capt. Avery Oakes,Cell: 555-0183,,,,,,
,Capt. Skyler Yardley,,,,,,,
,Cell: 555-0187,,,,,,,
,,,,,,,,
OS/V High Petrel 170',Capt. Jesse Whitlock,Morgan Ingram,Cell: 555-0131,,,,,
,,harper.thorne@example.com,,,,,,
R/V Bright Meridian 120',Seaway Education Trust,Capt. Skyler Dunmore,,,,,,
Cell: 555-0144,lee.marsh@example.com,kai.vance@example.com,,,,,,
R/V Northern Sound 46',Cell: 555-0191,Cell: 555-0191,,,,,,
,,,,,,,,
blake.garland@example.com,Coastal Survey Partners,,,,,,,
,,,,,,,,
R/V High Dory 100',Cell: 555-0123,Lee Sterling,Will raft alongside if needed,,,,,
,Cell: 555-0170,Kai Underhill,,,,,,
R/V Grey Tide 65',Lakeshore Research Group,https://www.example.org/vessel,Short visit only,Pending insurance paperwork,,,,
,alex.thorne@example.com,,,,,,,
,,,,,,,,
R/V Salt Skua 52',Lakeshore Research Group,,Pending insurance paperwork,,,,,
,Cell: 555-0133,,,,,,,
,Cell: 555-0132,,Tentative - awaiting confirmation,,,,,
,,,,,,,,
R/V High Reef 72',Lakeshore Research Group,,,,,,,
,,,,,,,,
OS/V Silver Skua 24',Seaway Education Trust,Capt. Emerson Quill,,,,,,
,Regional Fisheries Agency,https://www.example.org/vessel,,,,,,
M/Y Clear Wind 32',skyler.marsh@example.com,alex.quill@example.com,,,,,,
,,,,,,,,
,,,,,,,,
M/V Deep Meridian 145',jamie.dunmore@example.com,Cell: 555-0163,,,,,,
,,,,,,,,
M/V Deep Gannet 32',sage.ellery@example.com,https://www.example.org/vessel,,,,,,
,Capt. Lee Marsh,Taylor Bramble,,,,,,
M/V Far Fathom 72',Cell: 555-0167,Capt. Cameron Hollis,,,,,,
Cell: 555-0176,taylor.bexley@example.com,Cell: 555-0178,Cell: 555-0189,,,,,
,,Lee Marsh,See scheduling file for specs,,,,,
,,Quinn Ransom,,,,,,
Capt. Finley Marsh,,Noel Jarvis,,,,,,
dana.lowell@example.com,,,,,,,,
Cell: 555-0159,,,,,,,,
M/V Clear Cove 46',,,,,,,,
,,,,,,,,
R/V Iron Current 100',Pending insurance paperwork,,,,,,,
https://www.example.org/vessel,Short visit only,,,,,,,
,,,,,,,,
R/V Deep Strand 65',Cell: 555-0125,,,,,,,
,,,,,,,,
R/V Amber Voyager 24',Confirmed by marine ops,,,,,,,
R/V Western Fathom 32',Capt. Cameron Quill,,,,,,,
M/V Western Anchor 65',Cell: 555-0107,,,,,,,
Cell: 555-0145,Cell: 555-0112,,,,,,,
marley.danforth@example.com,Cell: 555-0178,,,,,,,
,emerson.norwood@example.com,,,,,,,
,,,,,,,,
,Cell: 555-0109,,,,,,,
,harper.marsh@example.com,,,,,,,
,,,,,,,,
M/V Clear Petrel 46',Lakeshore Research Group,Dana Quill,Capt. Logan Garland,,,,,
,Capt. Quinn Norwood,Casey Jarvis,,,,,,
,Bayline Charters,,,,,,,
,Cell: 555-0108,Rowan Dunmore,,,,,,
,Cell: 555-0147,Lee Danforth,,,,,,
,marley.norwood@example.com,Cell: 555-0113,,,,,,
,,https://www.example.org/vessel,,,,,,
R/V Long Current 65',Capt. Cameron Vance,morgan.corwin@example.com,,,,,,
R/V Wild Heron 145',Capt. Cameron Ashford,Parker Quill,,,,,,
https://www.example.org/vessel,Cell: 555-0121,Morgan Ransom,,,,,,
